Chapter,Sub chapter,Toponym,Gazetteer ID,country ,lat,long
1,2,England,geonames:6269131,GB,52.16045,-0.70312
1,2,Persia,geonames:130758,IR,32,53
1,2,Persian Gulf,geonames:6915989,IR,27,51
1,2,East Indies,geonames:1636682,ID,0,120
1,2,Persia,geonames:130758,IR,32,53
1,2,Bandar,geonames:1215498,ID,2.05,99.75
1,2,Hamilton,geonames:5969782,CA,43.25011,-79.84963
1,2,East Indies,geonames:1636682,ID,0,120
1,2,Tracy,geonames:5403191,US,37.73987,-121.42618
1,2,East India,geonames:1269750,IN,22,79
1,2,East India,geonames:1269750,IN,22,79
1,2,Persia,geonames:130758,IR,32,53
1,2,Masqat,geonames:287286,OM,23.58413,58.40778
1,2,Mello,geonames:8968433,IT,45.63716,8.11376
1,2,Hormuz,geonames:131231,IR,27.095,56.4529
,,,,,,
1,3,Persia,geonames:130758,IR,32,53
1,3,Masqat,geonames:287286,OM,23.58413,58.40778
1,3,Masqat,geonames:287286,OM,23.58413,58.40778
1,3,Bandar,geonames:1215498,ID,2.05,99.75
1,3,Bandar,geonames:1215498,ID,2.05,99.75
1,3,Nuno,geonames:1029480,MZ,-22.94139,33.98278
1,3,Alvarez,geonames:3587398,SV,13.73333,-89.26667
1,3,Botello,geonames:3713825,PA,7.73333,-80.51667
1,3,Khor Quwai,geonames:286825,OM,26.35389,56.36333
1,3,Botello,geonames:3713825,PA,7.73333,-80.51667
1,3,Qishm,geonames:119374,IR,26.9492,56.2691
1,3,Kung,geonames:141666,IR,26.59775,54.93694
1,3,Lingeh,,,,
1,3,East India,geonames:1269750,IN,22,79
1,3,Bandar,geonames:1215498,ID,2.05,99.75
1,3,Bandar,geonames:1215498,ID,2.05,99.75
1,3,Kerridge,,,,
1,3,Persia,geonames:130758,IR,32,53
1,3,Kerridge,,,,
1,3,Bandar,geonames:1215498,ID,2.05,99.75
1,3,Persia,geonames:130758,IR,32,53
1,3,Bandar,geonames:1215498,ID,2.05,99.75
1,3,Bandar,geonames:1215498,ID,2.05,99.75
1,3,Masqat,geonames:287286,OM,23.58413,58.40778
1,3,Basrah,geonames:99532,IQ,30.50852,47.7804
1,3,Masqat,geonames:287286,OM,23.58413,58.40778
1,3,Bandar,geonames:1215498,ID,2.05,99.75
1,3,Qishm,geonames:119374,IR,26.9492,56.2691
1,3,Bandar,geonames:1215498,ID,2.05,99.75
1,3,Batavia,geonames:5108093,US,42.99812,-78.18752
1,3,Bandar,geonames:1215498,ID,2.05,99.75
1,3,Kerridge,,,,
1,3,Persia,geonames:130758,IR,32,53
1,3,Bandar,geonames:1215498,ID,2.05,99.75
1,3,Turkey,geonames:298795,TR,39,35
1,3,Karbala,geonames:94824,IQ,32.61603,44.02488
1,3,Najaf,geonames:98860,IQ,32.02594,44.34625
1,3,Hillah,geonames:169585,SY,36.09469,36.54751
1,3,Basrah,geonames:99532,IQ,30.50852,47.7804
1,3,Basrah,geonames:99532,IQ,30.50852,47.7804
1,3,Basrah,geonames:99532,IQ,30.50852,47.7804
1,3,Persia,geonames:130758,IR,32,53
1,3,Spain,geonames:2510769,ES,40,-4
1,3,Madrid,geonames:3117735,ES,40.4165,-3.70256
1,3,England,geonames:6269131,GB,52.16045,-0.70312
1,3,Persia,geonames:130758,IR,32,53
1,3,England,geonames:6269131,GB,52.16045,-0.70312
1,3,Naqdi,geonames:13192,IR,38.8644,47.4218
1,3,England,geonames:6269131,GB,52.16045,-0.70312
1,3,London,geonames:2643743,GB,51.50853,-0.12574
1,3,Naqdi,geonames:13192,IR,38.8644,47.4218
1,3,East India,geonames:1269750,IN,22,79
1,3,Naqdi,geonames:13192,IR,38.8644,47.4218
1,3,Naqdi,geonames:13192,IR,38.8644,47.4218
1,3,Naqdi,geonames:13192,IR,38.8644,47.4218
1,3,Persia,geonames:130758,IR,32,53
1,3,Persia,geonames:130758,IR,32,53
1,3,East India,geonames:1269750,IN,22,79
1,3,Persia,geonames:130758,IR,32,53
1,3,England,geonames:6269131,GB,52.16045,-0.70312
1,3,Naqdi,geonames:13192,IR,38.8644,47.4218
1,3,Persia,geonames:130758,IR,32,53
1,3,Bandar,geonames:1215498,ID,2.05,99.75
1,3,Bandar,geonames:1215498,ID,2.05,99.75
1,3,May Day,geonames:11495549,JM,18.00951,-77.47606
1,3,Ashraf,geonames:17490,IR,39.0622,47.0484
1,3,Ashraf,geonames:17490,IR,39.0622,47.0484
1,3,Naqdi,geonames:13192,IR,38.8644,47.4218
1,3,Great Britain,geonames:2635167,GB,54.75844,-2.69531
1,3,Persia,geonames:130758,IR,32,53
1,3,Bandar,geonames:1215498,ID,2.05,99.75
1,3,Naqdi,geonames:13192,IR,38.8644,47.4218
1,3,Great Britain,geonames:2635167,GB,54.75844,-2.69531
1,3,England,geonames:6269131,GB,52.16045,-0.70312
1,3,Persia,geonames:130758,IR,32,53
1,3,England,geonames:6269131,GB,52.16045,-0.70312
1,3,East India,geonames:1269750,IN,22,79
1,3,Persian Gulf,geonames:235616,,27,51
1,3,India,geonames:1269750,IN,22,79
1,3,Bandar,geonames:1215498,ID,2.05,99.75
1,3,Persia,geonames:130758,IR,32,53
1,3,Turkey,geonames:298795,TR,39,35
1,3,Tavernier,geonames:4174870,US,25.01152,-80.51506
1,3,Bandar,geonames:1215498,ID,2.05,99.75
1,3,India,geonames:1269750,IN,22,79
1,3,Persia,geonames:130758,IR,32,53
1,3,East India,geonames:1269750,IN,22,79
1,3,Persia,geonames:130758,IR,32,53
1,3,England,geonames:6269131,GB,52.16045,-0.70312
1,3,Bandar,geonames:1215498,ID,2.05,99.75
1,3,India,geonames:1269750,IN,22,79
1,3,Bandar,geonames:1215498,ID,2.05,99.75
1,3,Persia,geonames:130758,IR,32,53
1,3,Bandar,geonames:1215498,ID,2.05,99.75
1,3,Loftus,geonames:2643773,GB,54.55543,-0.89459
1,3,Bandar,geonames:1215498,ID,2.05,99.75
1,3,Bandar,geonames:1215498,ID,2.05,99.75
